Field                                 County                               Depth                                Cumm PROD                            Gravity             
LA VERNIA, WEST (AUSTIN CHALK)        51099050 WILSON                      3046                                 510447                               32                  
LADY SHARON (DALE LIME)               51252400 CALDWELL                    1615                                 9967                                 28                  
LAKEWOOD (AUSTIN CHALK)               51684100 GONZALES                    6864                                 67263                                26                  
LANE (AUSTIN CHALK)                   51831500 CALDWELL                    1603                                 1427                                 41                  
LARREMORE                             52095001 CALDWELL                    1000                                 1578800                              24                  
LAWLESS-BENSON (SAN MIGUEL)           52434500 MAVERICK                    1049                                 2957                                 35                  
LAWSON WEST (REEF)                    52501500 ATASCOSA                    3593                                 9802                                 33                  
LEE RANCH (SAN MIGUEL 18              52888200 ZAVALA                      3406                                 385                                  42                  
LEESVILLE (EAGLEFORD)                 52930250 GONZALES                    5320                                 223                                  28                  
LEESVILLE (POTH SAND)                 52930500 GONZALES                    2872                                 7868                                 22                  
LEFT HOOK (WALES)                     52954474 ATASCOSA                    4888                                 37601                                42                  
LEFT HOOK (WRIGHT)                    52954475 ATASCOSA                    5252                                 280965                               40                  
LEGRIM (ELAINE)                       52981500 ZAVALA                      3376                                 6223                                 22                  
LEMING (NAVARRO SAND)                 53061333 ATASCOSA                    2872                                 38790                                25                  
LEMING (2934 SAND)                    53061666 ATASCOSA                    2934                                 689390                               33                  
LENTZ                                 53193001 BASTROP                     2300                                 385891                               38                  
LEON CREEK (AUSTIN CHALK)             53221500 BEXAR                       1100                                 0                                    18                  
LEONA (ELAINE)                        53245500 ZAVALA                      3224                                 243256                               20                  
LEONCITA (ANACACHO, NORTH)            53295510 MEDINA                      997                                  1927                                 31                  
LEONCITA (SAN MIGUEL)                 53295700 MEDINA                      1066                                 12154                                26                  
LEROY FINN (GEORGETOWN)               53325500 WILLIAMSON                  2196                                 20                                   22                  
LETA (AUSTIN CHALK-A)                 53390100 ZAVALA                      6480                                 131067                               36                  
LETA (AUSTIN CHALK-B)                 53390200 ZAVALA                      6670                                 5567                                 36                  
LETA (OLMOS)                          53390350 ZAVALA                      4405                                 10648                                33                  
LETA (SAN MIGUEL)                     53390500 ZAVALA                      5074                                 8505                                 33                  
LETA (SAN MIGUEL-A)                   53390600 ZAVALA                      5300                                 10285                                34                  
LETA, EAST (7010)                     53393500 FRIO                        7069                                 117177                               40                  
LIGHT                                 53554001 DIMMIT                      5809                                 347                                  42                  
LIGHT RANCH (OLMOS                    53557500 DIMMIT                      5736                                 2985                                 44                  
LILLIE MARIE (SAN MIGUEL)             53572500 ZAVALA                      3352                                 134729                               26                  
LINDSEY, S.E.(NAVARRO)                53706500 BASTROP                     3925                                 427                                  39                  
LINNE (POTH -A- SAND)                 53773333 WILSON                      1362                                 3175512                              22                  
LINNE (POTH -C- SAND)                 53773666 WILSON                      1686                                 49046                                22                  
LINNE, S. (POTH -A- SAND)             53777500 WILSON                      1339                                 343768                               22                  
LISTO (WRIGHT)                        53924475 MCMULLEN                    5501                                 3846                                 37                  
LITTIG                                53930500 BASTROP                     350                                  333                                  20                  
LITTLE ALAMO                          53933001 MCMULLEN                    2258                                 492727                               18                  
LITTLE ALAMO (6200)                   53933775 MCMULLEN                    6225                                 29066                                42                  
LITTLE JOHN (AUSTIN CHALK)            54000100 GONZALES                    5466                                 75995                                26                  
LITTLE MAX (POTH SAND)                54030500 WILSON                      2785                                 6362                                 29                  
LITTLE NEW YORK                       54037001 GONZALES                    1954                                 345029                               21                  
LITTLE TOM (-C- SAND)                 54084200 ZAVALA                      2761                                 1282                                 19                  
LITTLE TOM (-D-)                      54084400 ZAVALA                      2845                                 14767                                10                  
LITTLE TOM (SAN MIGUEL C.E.)          54084800 ZAVALA                      2770                                 81582                                21                  
LIZARD CREEK (PETTUS)                 54199300 MCMULLEN                    3234                                 234961                               23                  
LOMA ALTA                             54475001 MCMULLEN                    2200                                 412863                               21                  
LOMA ALTA (WILCOX)                    54475166 MCMULLEN                    6865                                 1377470                              37                  
LOMA ALTA (WILCOX F)                  54475498 MCMULLEN                    7354                                 54979                                36                  
LOMA ALTA (3                          54475664 MCMULLEN                    3556                                 4453                                 27                  
LOMA ALTA (36                         54475835 MCMULLEN                    3681                                 534822                               36                  
LOMA ALTA (4070)                      54475890 MCMULLEN                    4066                                 83787                                38                  
LOMA ALTA, EAST (WILCOX)              54476500 MCMULLEN                    7250                                 946                                  48                  
LOMA ALTA, NORTH (3900 YEGUA)         54477600 MCMULLEN                    3892                                 12433                                37                  
LOMA VISTA (AUSTIN CHALK)             54528100 ZAVALA                      5929                                 49354                                32                  
LONE OAK (COOKSEY SAND)               54594500 BEXAR                       1416                                 156                                  36                  
LPO FLEMING (SERPENTINE)              54863500 BASTROP                     3610                                 60                                   36                  
LORENZO (AUSTIN CHALK)                54928500 ZAVALA                      5187                                 96035                                32                  
LOS ANGELES (WILCOX -A- SD.)          54941500 LA SALLE                    3755                                 68610                                42                  
LOS ANGELES (3800)                    54941600 LA SALLE                    3796                                 96850                                39                  
LOS ANGELES (4800)                    54941775 LA SALLE                    4795                                 20749                                41                  
LOS CUATROS (AUSTIN CHALK)            54948050 MAVERICK                    1861                                 1301                                 33                  
LOS CUATROS (JAMES LIME)              54948200 MAVERICK                    6383                                 8933                                 46                  
LOSOYA (AUSTIN CHALK)                 55022500 BEXAR                       1855                                 33084                                17                  
LOSOYA (OLMOS)                        55022800 BEXAR                       1266                                 0                                    32                  
LOST MULE (AUSTIN CHALK)              55041333 CALDWELL                    1590                                 230                                  36                  
LOUIE (ELAINE)                        55109500 ZAVALA                      4157                                 1440                                 30                  
LOWE RANCH (                          55270890 MCMULLEN                    5919                                 203                                  36                  
LUCAS CREEK (ESCONDIDO 4200)          55426250 ATASCOSA                    4214                                 4633                                 25                  
LUCAS CREEK (NAVARRO)                 55426333 ATASCOSA                    4047                                 1422                                 27                  
LUCAS CREEK (NAVARRO, UP.)            55426666 ATASCOSA                    3884                                 126                                  25                  
LULING (EDWARDS)                      55665500 CALDWELL                    2364                                 331010                               37                  
LULING, WEST (AUSTIN-BUDA)            55672500 CALDWELL                    2645                                 9951                                 38                  
LULING-BRANYON                        55679001 CALDWELL                    1900                                 185697486                            36                  
LULING-BRANYON (1700)                 55679666 GUADALUPE                   1885                                 30829                                29                  
LULING-BRANYON, W. (EDWARDS)          55685500 GUADALUPE                   2233                                 2229                                 20                  
LUND                                  55741001 TRAVIS                      982                                  1397                                 34                  
LYSSY (CARRIZO -D-)                   56025500 WILSON                      2128                                 56372                                22                  
LYSSY (2100 STRINGER)                 56025700 WILSON                      2113                                 96631                                21                  
LYTLE (ANACACHO, LOWER)               56039500 BEXAR                       1200                                 3490                                 20                  
LYTTON SPRINGS                        56054001 CALDWELL                    1250                                 12086770                             38                  
M.E.G. (OLMOS 3900)                   56145200 DIMMIT                      3933                                 467                                  51                  
M.E.I (WILCOX 4300)                   56146350 GONZALES                    4293                                 83197                                33                  
M.F. JAKE LAWLESS (EDWARDS LIME)      56157150 MAVERICK                    3276                                 27327                                40                  
M.J.M. (WILCOX 37                     56222500 WILSON                      3763                                 71291                                23                  
MLJ (QUEEN CITY 10                    56245800 FRIO                        1058                                 4921                                 25                  
MAG (AUSTIN CHALK)                    56653200 GONZALES                    7484                                 2828414                              28                  
MAG (BUDA)                            56653300 GONZALES                    7756                                 151250                               32                  
MAG (786                              56653786 GONZALES                    7913                                 5091                                 30                  
MALTSBERGER (ESCONDIDO)               57014200 LA SALLE                    5665                                 843                                  42                  
MANFORD                               57082001 GUADALUPE                   2615                                 434825                               37                  
MANTI KUDU                            57210500 MCMULLEN                    5685                                 2842                                 50                  
MANTI KUDU SOUTH                      57212500 MCMULLEN                    5810                                 4778                                 52                  
MANZANAS (ELLENBURGER)                57247190 BANDERA                     4388                                 40541                                40                  
MAPLE HUGHES (BURTON 1                57288500 GUADALUPE                   1560                                 39931                                16                  
MARAK CHURCH (BUDA LIME)              57350500 MILAM                       1604                                 476                                  39                  
MARCELINA CREEK (AUSTIN CHALK)        57367500 WILSON                      8060                                 4538762                              42                  
MARCELINA CREEK (BUDA)                57367550 WILSON                      8432                                 3240418                              38                  
MARKAS (SERPENTINE REEF)              57559375 ATASCOSA                    3524                                 85                                   39                  
MARSHA                                57705001 BASTROP                     1872                                 173382                               40                  
MARTIN HEIRS (ESCONDIDO)              57782300 LA SALLE                    6068                                 20079                                52                  
MASSIE WEST (PALUXY)                  58115500 VAL VERDE                   360                                  114066                               18                  
MATTHEWS                              58315001 WILLIAMSON                  1000                                 242928                               37                  
MCBRIDE (SERPENTINE)                  58798500 CALDWELL                    2093                                 14868                                42                  
MCCLAIN (AUSTIN CHALK)                58988400 WILSON                      7083                                 10270                                20                  
MCCLAIN (BUDA)                        58988500 WILSON                      7144                                 73128                                29                  
MCCLAIN, S. (BUDA)                    58993500 WILSON                      7880                                 5602                                 30                  
MCCLAIN, S. (AUSTIN CHALK)            58993550 WILSON                      7738                                 4070                                 26                  
MCKAY (OLMOS 30                       59555500 DIMMIT                      3040                                 2633                                 39                  
MCMILLEN (DALE LM.-SERPENTINE         59811500 CALDWELL                    1534                                 2010                                 38                  
MCQUEENY, S. (AUSTIN CHALK)           60009200 GUADALUPE                   1320                                 766                                  32                  
MERLE (JACKSON)                       60677500 MCMULLEN                    1680                                 15502                                22                  
METCO (                               60865500 GONZALES                    6132                                 5239                                 38                  
MID-FREDDY HUT (WRIGHT)               61135475 MCMULLEN                    5394                                 84499                                37                  
MIDWAY (2300)                         61153500 MILAM                       2398                                 27224                                23                  
MIDWAY (2300 OIL)                     61153510 MILAM                       2398                                 429137                               23                  
MILANO (AUSTIN CHALK)                 61342200 MILAM                       5260                                 116472                               39                  
MILANO (EAGLEFORD)                    61342400 MILAM                       5518                                 1471                                 37                  
MILANO (GEORGETOWN)                   61342500 MILAM                       5880                                 171772                               29                  
MILANO (PECAN GAP)                    61342700 MILAM                       4250                                 293850                               32                  
MILANO, EAST (BUDA)                   61344500 MILAM                       5666                                 58522                                36                  
MILANO, SOUTH (AUSTIN CHALK)          61347500 MILAM                       5083                                 16354                                35                  
MILBUR (GIBSON)                       61349200 MILAM                       3598                                 6352                                 45                  
MILBUR (NAVARRO)                      61349333 MILAM                       3475                                 1013342                              36                  
MILBUR (POTH)                         61349450 MILAM                       2377                                 40348                                17                  
MILBUR (WILCOX 27                     61349666 MILAM                       2764                                 242668                               24                  
MILBUR, N. (WILCOX 2                  61351500 MILAM                       2658                                 1036608                              21                  
MILBUR, SW (WILCOX 2800)              61356500 MILAM                       2787                                 179001                               23                  
MILL CREEK                            61426001 GUADALUPE                   2194                                 62294                                33                  
MILLETT, WEST (AUSTIN CHALK)          61593300 LA SALLE                    7330                                 2025                                 34                  
MINERVA-ROCKDALE                      61858001 MILAM                       650                                  10300231                             38                  
MINUTEMEN (GEORGETOWN)                62034500 ZAVALA                      4564                                 4164                                 22                  
MISSION                               62107001 BEXAR                       900                                  623                                  27                  
MOCKINGBIRD (H2S DISPOSAL)            62306500 LA SALLE                    0                                    0                                    49                  
MOLLIE (AUSTIN CHALK)                 62384050 WILSON                      5197                                 45424                                36                  
MONKSFIELD (350 SAND)                 62480500 BEXAR                       350                                  1173536                              34                  
MONTHALIA (BUDA LIME)                 62617500 GONZALES                    5648                                 190                                  32                  
MOSSER (AUSTIN CHALK)                 63149300 WILSON                      7606                                 90363                                25                  
MOSSER (BUDA)                         63149500 WILSON                      7846                                 3114                                 28                  
MT. EDEN (CARRIZO-WILCOX)             63340250 GONZALES                    2196                                 21316                                24                  
MT. EDEN (CARRIZO-WILCOX, LO.)        63340500 GONZALES                    2194                                 63053                                29                  
MT. EDEN (CARRIZO-WILCOX, UP.)        63340505 GONZALES                    2164                                 136323                               23                  
MT. EDEN (2000)                       63340750 GONZALES                    2076                                 3939                                 22                  
MOUNTAIN HOME (ELLENBURGER 3730)      63460300 KERR                        3730                                 80175                                31                  
MOURSUND (NAVARRO)                    63480500 ATASCOSA                    4920                                 884                                  39                  
MUIL                                  63658001 ATASCOSA                    9010                                 529752                               43                  
MUIL (CARRIZO SAND)                   63658250 ATASCOSA                    2673                                 67795                                42                  
MUIL (QUEEN CITY SAND)                63658750 ATASCOSA                    2212                                 125187                               21                  
MULA PASTURE (WILCOX, LOWER)          63672750 MCMULLEN                    5264                                 3167                                 42                  
MULA PASTURE, E. (WILCOX)             63673500 MCMULLEN                    5504                                 128307                               43                  
MULA PASTURE, N. (5100)               63674500 LA SALLE                    5149                                 120029                               43                  
MULA PASTURE, W (WILCOX 5300)         63678500 MCMULLEN                    5316                                 62184                                46                  
MULA PASTURE, W(WILCOX 5200)          63678550 LA SALLE                    5196                                 32001                                40                  
MUNSON                                63845001 MCMULLEN                    1213                                 299574                               21                  
NAN (AUSTIN CHALK)                    64402500 DIMMIT                      6185                                 2284                                 43                  
NEEDMORE (OLMOS)                      64789500 DIMMIT                      4214                                 32664                                39                  
NETA (BRACERO)                        64990300 ZAVALA                      3273                                 1185                                 18                  
NETA (OLMOS)                          64990700 ZAVALA                      2677                                 96                                   20                  
NEW SWEDEN                            65213001 TRAVIS                      486                                  108650                               34                  
NICKEL (AUSTIN CHALK)                 65480500 GONZALES                    10276                                52452                                36                  
NINE YEAR (GEORGETOWN)                65532290 LA SALLE                    7912                                 4946                                 46                  
NIXON                                 65586001 GONZALES                    5839                                 5604782                              24                  
NIXON (AUSTIN CHALK, LO.)             65586100 GONZALES                    5256                                 593                                  32                  
NIXON (BUDA)                          65586200 WILSON                      6131                                 13706                                28                  
NIXON (POTH SAND)                     65586500 WILSON                      4790                                 23932                                31                  
NIXON, EAST (                         65590600 GONZALES                    6115                                 138373                               27                  
NIXON, SE (AUSTIN CHALK)              65595500 GONZALES                    6833                                 390685                               28                  
NOACK                                 65600001 WILLIAMSON                  900                                  659669                               39                  
NORCRYST (ELAINE)                     65930500 ZAVALA                      4059                                 2230                                 30                  
OLEARY (AUSTIN CHALK)                 67088500 CALDWELL                    1932                                 10546                                37                  
OPOSSUM CREEK                         67456001 MCMULLEN                    6522                                 372                                  42                  
ORILEA (AUSTIN CHALK)                 67597100 FRIO                        7985                                 11330                                29                  
OTEY (NAVARRO)                        67758500 CALDWELL                    990                                  1711                                 48                  
PAIGE (AUSTIN)                        68368333 BASTROP                     6167                                 4803                                 33                  
PAIGE (BUDA)                          68368666 BASTROP                     6968                                 26871                                24                  
PAIGE, NE. (AUSTIN CHALK)             68371500 BASTROP                     6372                                 301                                  46                  
PAISANO RANCH (OLMOS)                 68454500 MCMULLEN                    11380                                964                                  48                  
PALMER (CARRIZO)                      68621250 WILSON                      447                                  5887                                 23                  
PALMER (POTH SAND)                    68621500 WILSON                      2810                                 51263                                25                  
PALMER (POTH-B)                       68621600 WILSON                      2871                                 391140                               26                  
PALMER (WILCOX)                       68621725 WILSON                      2688                                 46347                                27                  
PALMER (WILCOX -E-)                   68621750 WILSON                      2210                                 124                                  25                  
PALMERAS (OLMOS)                      68635500 DIMMIT                      3849                                 165595                               30                  
PALMERAS (OLMOS                       68635525 ZAVALA                      3934                                 0                                    35                  
PANDORA, NW (AUSTIN CHALK)            68812600 WILSON                      5054                                 1015240                              27                  
PARMER (PALUXY)                       69319500 VAL VERDE                   473                                  106                                  20                  
PARROT HEAD (WALES)                   69395475 MCMULLEN                    5649                                 44502                                42                  
PATRICK                               69584001 MCMULLEN                    4785                                 2517                                 42                  
PATTESON (CARRIZO)                    69686500 GONZALES                    1391                                 173388                               32                  
PATTON, N. (BUDA)                     69712500 WILSON                      8143                                 41752                                24                  
PATTY HUTT (WILCOX)                   69735700 ATASCOSA                    5340                                 552125                               37                  
PAWELEK (AUSTIN CHALK)                69838100 WILSON                      7238                                 434734                               30                  
PEACH CREEK (AUSTIN CHALK)            69882500 GONZALES                    7869                                 12602132                             31                  
PEACH CREEK (BUDA)                    69882600 GONZALES                    8231                                 885363                               31                  
PEACH CREEK (CHAROLET)                69882650 GONZALES                    7358                                 4538                                 27                  
PEACH CREEK (EDWARDS)                 69882700 GONZALES                    9146                                 27962                                24                  
PEACH CREEK (PECAN GAP)               69882770 GONZALES                    7896                                 34523                                42                  
PEARSALL (AUSTIN CHALK)               69981125 FRIO                        5200                                 168597606                            34                  
PEARSALL (BUDA LIME)                  69981250 FRIO                        5930                                 776455                               39                  
PEARSALL (BUDA, S.)                   69981375 FRIO                        5993                                 5331838                              36                  
PEARSALL (NAVARRO SAND)               69981500 FRIO                        3900                                 9414672                              26                  
PEARSALL (OLMOS -A-)                  69981625 FRIO                        4124                                 2596202                              26                  
PEARSALL, EAST (OLMOS)                69982500 FRIO                        5153                                 895                                  36                  
PEARSALL, SOUTH (AUSTIN CHALK)        69984500 FRIO                        7012                                 107841                               31                  
PECAN GAP (5050)                      70070200 MILAM                       5185                                 444611                               30                  
PEELER (WILCOX 4160)                  70233500 ATASCOSA                    4161                                 32715                                43                  
PEELER, N. (WILCOX 4500)              70235500 ATASCOSA                    4501                                 72971                                44                  
PEELER RANCH (WALES)                  70240500 MCMULLEN                    5814                                 52921                                44                  
PEG (AUSTIN CHALK)                    70263333 BASTROP                     1510                                 16060                                37                  
PEG (BUDA LIME)                       70263666 BASTROP                     1892                                 17066                                39                  
PEG, N. (AUSTIN CHALK)                70265500 BASTROP                     1550                                 61630                                38                  
PEMBERTON (NAVARRO)                   70374500 MILAM                       2660                                 7390                                 30                  
PENA CREEK (GEORGETOWN)               70411210 MAVERICK                    7197                                 141463                               42                  
PENA CREEK (OLMOS 2350)               70411321 DIMMIT                      2594                                 0                                    30                  
PENA CREEK (OLMOS 2400)               70411333 DIMMIT                      2417                                 2653                                 31                  
PENA CREEK (SAN MIGUEL 2ND)           70411500 DIMMIT                      2971                                 25223                                40                  
PENA CREEK (SAN MIGUEL 3RD)           70411666 DIMMIT                      3400                                 11535064                             31                  
PENA CREEK (SHALLOW)                  70411700 DIMMIT                      1755                                 428                                  36                  
PENDENCIA (GEORGETOWN)                70453450 DIMMIT                      5895                                 2644                                 37                  
PERSISTENCE (AUSTIN CHALK)            70760100 GONZALES                    6626                                 97896                                33                  
PERSISTENCE (BUDA)                    70760500 GONZALES                    6610                                 138                                  32                  
PETRO-ROCK (SAN MIGUEL)               70896500 DIMMIT                      2877                                 574                                  42                  
PHILTOP                               71253001 BEXAR                       1114                                 8171                                 23                  
PICOSA CREEK (AUSTIN CHALK)           71387100 WILSON                      5696                                 2412                                 27                  
PIEDRA CALIENTE (10900)               71397750 MCMULLEN                    10932                                710                                  36                  
PIERSON (SERPENTINE 1500)             71458500 BASTROP                     1503                                 19401                                41                  
PILCHER (AUSTIN CHALK)                71484100 CALDWELL                    1808                                 64                                   25                  
PILGRIM (AUSTIN CHALK)                71486100 GONZALES                    8027                                 8586208                              30                  
PILGRIM (BARTOSH SAND)                71486500 GONZALES                    3340                                 40002                                24                  
PILGRIM (BUDA)                        71486550 GONZALES                    8285                                 154956                               35                  
PILGRIM (EAGLEFORD)                   71486600 GONZALES                    8322                                 271377                               34                  
PILGRIM (NAVARRO)                     71486800 GONZALES                    6337                                 59020                                37                  
PILONCILLO RANCH (OLMOS)              71507500 DIMMIT                      5142                                 0                                    45                  
PILOSA (GLEN ROSE)                    71510500 ZAVALA                      8033                                 1596                                 32                  
PILOSA (OLMOS)                        71514222 ZAVALA                      2900                                 8005                                 19                  
PILOSA (SAN MIGUEL)                   71514666 ZAVALA                      2705                                 1682                                 35                  
PILOSA, EAST (2ND SAN MIGUEL)         71520500 ZAVALA                      2574                                 352248                               22                  
PILOSA, EAST (3RD SAN MIGUEL)         71520550 ZAVALA                      3128                                 1312                                 29                  
PILOSA, NORTH (2ND SAN MIGUEL)        71522500 ZAVALA                      2702                                 29938                                27                  
PLEASANTON (AUSTIN CHALK)             71922166 ATASCOSA                    6981                                 4490                                 38                  
PLEASANTON (BUDA)                     71922249 ATASCOSA                    7797                                 1008                                 37                  
PLEASANTON (CARRIZO SAND)             71922332 ATASCOSA                    2152                                 755969                               22                  
PLEASANTON (EDWARDS LIME)             71922498 ATASCOSA                    8157                                 630091                               30                  
PLEASANTON (EDWARDS LIME 8100)        71922664 ATASCOSA                    8172                                 39585                                22                  
PLEASANTON (RECKLAW)                  71922830 ATASCOSA                    2180                                 31077                                19                  
PLEASANTON, E. (AUSTIN CHALK)         71923100 ATASCOSA                    7310                                 3687                                 39                  
PLEASANTON, E. (BUDA)                 71923200 ATASCOSA                    7435                                 69184                                32                  
PLEASANTON, E. (EDWARDS)              71923300 ATASCOSA                    7464                                 1774395                              35                  
PLEASANTON, E. (ESCONDIDO)            71923333 ATASCOSA                    4667                                 1272238                              41                  
PLEASANTON, E. (ESCON FLT B5000)      71923350 ATASCOSA                    5066                                 46498                                40                  
PLEASANTON, E. (ESCONDIDO, S.)        71923666 ATASCOSA                    4934                                 5442                                 39                  
PLEASANTON, E. (GEORGETOWN)           71923700 ATASCOSA                    7377                                 19833                                36                  
PLEASANTON, NW (ESCONDIDO)            71924500 ATASCOSA                    3852                                 732                                  32                  
PLEASANTON, N. (AUSTIN CHALK)         71925100 ATASCOSA                    5584                                 155840                               22                  
PLEASANTON, N. (GEORGETOWN)           71925500 ATASCOSA                    5800                                 13066                                26                  
PLEASANTON, S. (ANACACHO)             71926125 ATASCOSA                    7440                                 22998                                27                  
PLEASANTON, S. (CARRIZO SAND)         71926250 ATASCOSA                    1887                                 3224182                              18                  
PLEASANTON, S. (EDWARDS)              71926375 ATASCOSA                    8120                                 0                                    42                  
PLEASANTON, SOUTH (EDWARDS LIME)      71926500 ATASCOSA                    7626                                 130658                               40                  
PLEASANTON, S. (NAVARRO)              71926625 ATASCOSA                    5223                                 58532                                28                  
PLEASANTON, S. (QUEEN CITY)           71926750 ATASCOSA                    1616                                 273630                               19                  
PLEASANTON, S. (SPARTA)               71926875 ATASCOSA                    492                                  39780                                19                  
PLEASANTON, SE. (EDWARDS)             71928300 ATASCOSA                    7619                                 63622                                32                  
PLUM CREEK (AUSTIN CHALK)             71960100 CALDWELL                    1672                                 3124                                 37                  
PLUM CREEK (SERPENTINE)               71960500 CALDWELL                    1520                                 1358                                 38                  
PLUM CREEK, N. (DALE LIME)            71962300 CALDWELL                    1512                                 16474                                37                  
